,hotel_name,review_rating_score,pos_review_content,neg_review_content
0,Комплекс Вили над залива,10,"Супер локация, много е удобна ако искате да посетите Exe beach bar.","Широко и удобно, има паркомясто и удобна локация на тихо място."
1,Комплекс Вили над залива,10,"Уникално и любезно отношение от собствениците. Посрещнаха ни и ни изпратиха с усмивка. Нищо общо с отзивите оставени в booking. Истината е ,че рядко доволните клиенти пишат коментари, а напротив. Държи се на тишина и спокойствие, а не на купони и еуфории. Вилите са изключително приятно обзаведени, комфортни, уютни и чистички. Има всичко необходимо като оборудване в кухненския бокс и приятни местенца за хапване на открито. Има място за паркиране. Попитах за домашния си любимец и той не беше допуснат, но в последствие разбрахме, че си има и това адекватна и разбираема причина, а имено здравословна причина в семейството на собсвениците. Със сигурност бих посетила мястото отново и то за повече.",Всичко беше супер. Нямам лош коментар!!!
2,Семеен хотел Елена,9,"Стаята на живо е по-хубава от на снимките голяма , светла и чиста, домакиня също е любезен, заслужава си.",
3,Семеен хотел Елена,9,Топ локация,
4,Семеен хотел Елена,9,"Благодаря за кафенцето, оставено в стаята",
5,Семеен хотел Елена,9,"Локацията е супер. Точно на центъра в новия град. Всичко е наблизо. Чисто е и уютно. Банята беше ок, както и кърпите.",Поне за мен ютията и дъската за гладене са важни. Това може да бъде подобрено.
6,Семеен хотел Елена,9,"Местоположение и обслужване много добри. Хубав интернет, въпреки централното разположение на вилата тихо и спокойно място за почивка.",Препоръка: Сешоар и ютия на разположение на всяка стая.
7,Семеен хотел Елена,9,,"никъде не е обозначено,че паркинг се доплаща 15лв на ден"
8,Къща за гости Феникс,10,"Страхотна къща за почивка или събиране с приятели. Особено впечатляваща е механата с уютното огнище, което предразполага за създаване на много незабравими спомени със семейство или приятели! Също така домакините бяха изключително отзивчиви и всеотдайни, за да направят престоя ни максимално приятен и удобен.",
9,Вила Миа,10,"Хареса ми гледката на стаята към морето и спокойствието, което цари наоколо! Идеално място за почивка! Хареса ми изключително много чистотата в хотела и ежедневната подмяна на кърпи, принадлежности (сапуни, балсами за коса и душ гелове) и торба за боклук! Стаите са чисти и уникални за почивка!","Не ми хареса, че водата в басейна е доста студена! През всички дни, които бяхме на басейн, само първата вечер що годе водата беше топла! Може би трябва да се помисли за нещо допълнително за отопляне! Не ми хареса черния път по който се стига - по него се кара около 700 метра. Не е осветено до самата вила и всички съседни на нея, така че вечерно време е хубаво да си с автомобил!"
10,Вила Миа,10,"Прекрасно място, всичко ни хареса, ново, поддържано, с отзивчиви домакини. Стаите бяха чести, удобни, просторни, нищо не ни липсваше. Басейнът е чудесна алтернатива за отдих, ако не ви се отива до плажа. Чувстваш се като у дома си. 
Ще се върнем отново! 😊",
11,Вила Миа,10,"Хотела е много хубав и чист, има предостатъчно паркоместа",Единственото нещо което ми хвана окото като минус бяха баните. Нямаше чашка да си оставиш четката за зъби нямаше и рафтче около душа където да си оставиш козметиката
12,Вила Миа,10,"Спокойно и уютно място, на 10-15 минути от плаж Каваци. Чисто и подредено. Басейна също много ми допадна.","Възглавниците лично за мен бяха неудобни, но това е въпрос на предпочитание."
13,Вила Миа,10,Всичко беше супер.Персонала беше много мил.Изключително чисто,
14,Вила Миа,10,"Приятно тихо хотелче, с хубава гледка. Студиото, в което отседнахме беше с добър размер и достатъчно пространство за всичко. Почистването е на много високо ниво.","За да се стигне до плаж или заведение, Стария град, и т.н., трябва да се повърви доста пеша или да се използва кола/такси."
15,Вила Миа,10,"Добра локация, само на 10мин пеша от плажа. Безупречна чистота, комфорт в стаята с всичко необходимо. Басейнът е чист и поддържан. Персоналът е мил и вежлив, почистваха ни стаята всеки ден :) 
Останахме много доволни и бихме се върнали отново!","Повече посуда в кухнята би била от полза за хора, които си готвят предимно. :)"
16,Вила Миа,10,"Беше много чистичко, отлична локация до всичко, което ми беше нужно за едно хубаво прекарване. Създава доста приятно чувство за комфорт!",
